,distance,minimum presure
ERA5,0.11118549303787319,1.0
thompson_freitas_mynn,0.1849669760506309,0.20354145548523786
thompson_freitas_ysu,0.32702951961720444,0.0
thompson_ntiedtke_mynn,0.7303260323593711,0.4121530916961179
thompson_ntiedtke_ysu,0.935337033576011,0.44226185583956606
thompson_tiedtke_ysu,0.7782024407993227,0.4232815539300293
wsm6_freitas_mynn,0.0,0.23837885720025936
wsm6_freitas_ysu,0.27073503608551797,0.0715542039944111
wsm6_ntiedtke_mynn,0.6796630244205343,0.4263956238641864
wsm6_ntiedtke_ysu,1.0,0.4074847264458508
wsm6_tiedtke_mynn,0.40273147220231875,0.403857428563601
wsm6_tiedtke_ysu,0.26817758586672225,0.2886204030939792
