,u10,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge,windspeed,precip,v10,mean
kessler_freitas,0.5853449221345048,0.2440497576899286,0.1813044928506185,0.9369873415556352,0.0,0.5803809938210416,0.2049054346090416,0.1193658977671681,0.2871107893762684,0.3196367389066957,0.4123014118197204,0.398778956923166,0.3558472281211491
kessler_ntiedtke,0.1016912218122888,0.0980380719703301,0.1083953912115814,0.0,0.2064213410134727,1.0,0.3328198848018047,0.3621333672026782,0.3349152032877227,0.0,0.0671541297305259,0.0426699607836437,0.2211865476511707
kessler_off,0.5003926804160284,0.2248491266882508,0.2369065739609296,0.2666324082752829,0.0345783799675009,0.9378512015324264,0.2579508547248011,0.1337207382990367,0.272445575539625,0.2671432891202864,0.508243315518544,0.3048947807813129,0.32880074373533547
kessler_tiedtke,0.3527959968117927,0.0581495610413616,0.2439028986379313,0.0979198756178135,0.0936282340482169,0.7095401437236082,0.3698488691367279,0.2921584215400876,0.4233847735233554,0.2359402841202191,0.4397088033712001,0.3284975479186162,0.30378961745757754
off_freitas,0.5720814943475765,0.2399273712712704,0.8876987467126048,0.0300233563095375,1.0,0.7728194242210921,0.7719110838766828,1.0,0.7305630304130649,0.6669254834348124,0.7931926173033418,0.5450507310835649,0.6675161115811291
off_ntiedtke,0.2382961336362559,0.2002007620859993,0.3169044641581077,0.929268280968362,0.7478520675223793,0.5061180291459286,0.414463710319829,0.9577670789340214,0.3956909222558589,0.1286593857531891,0.3332683890046251,0.1142336512263044,0.44022690625090505
off_off,0.7715576272768803,1.0,1.0,0.2966547592714162,0.8657461415848727,0.5802008122880128,1.0,0.3116446635165247,1.0,1.0,1.0,1.0,0.8188170003281422
off_tiedtke,1.0,0.7997167935781218,0.574900412718242,0.2390913181720217,0.8059997911973197,0.2071041000255368,0.7713091856499711,0.4848551731447604,0.727532653171338,0.7844009525665632,0.8653698564801547,0.8195172539839659,0.6733164575573328
thompson_freitas,0.4875037882212606,0.2067668228512372,0.0553368855814455,0.835451187068409,0.3453380966873671,0.5183842873433281,0.0150091514039007,0.4804352289663219,0.0881098336364316,0.3341268905814826,0.4293983014629263,0.2582763452208598,0.3378447349187475
thompson_fritsch,0.2981957920889018,0.2500329771192518,0.1889268103677733,0.1062834847455665,0.259165455328374,0.0,0.2566865341067282,0.3704304202261453,0.3212980965954592,0.293498535313196,0.2947438812695476,0.1521334314856268,0.2326162848872142
thompson_ntiedtke,0.0064156779841774,0.2326912540381949,0.1054608987452332,0.1179561043104556,0.2989578709666944,0.1174310236546025,0.1968693523140396,0.0808410840500349,0.2073902594034929,0.0340121732664931,0.0,0.0,0.11650214156111821
thompson_off,0.3829014126335271,0.0912367824233335,0.1221196255812471,0.3301300596706554,0.2604174324883969,0.4060224153028745,0.0308001916725995,0.355010093371974,0.0557784287143108,0.3273849442149971,0.1463034605114542,0.238132079123198,0.22885307714238068
thompson_tiedtke,0.2224386509131874,0.0567027852348639,0.0623298416598143,0.1791892983347993,0.164333471114539,0.0028515497863338,0.1504354937971663,0.0,0.1826265373275021,0.2338447556291833,0.3132270360366506,0.1883402742151188,0.14635997450409657
wsm6_freitas,0.4158299847395036,0.1824483040817167,0.0,1.0,0.3776371101231242,0.5492370448906533,0.030781215745167,0.5841555915972396,0.088969158786093,0.3331438347811699,0.3116155916428418,0.2647875362559124,0.34488378105361844
wsm6_fritsch,0.2424418933703155,0.3740918955803774,0.1161639985769917,0.1252423032660188,0.3332206221708761,0.3663592337613427,0.2333431707799026,0.4178623502122016,0.3039937343792834,0.2874193724568653,0.2912771890220183,0.1805908511795456,0.2726672178963116
wsm6_ntiedtke,0.0,0.1856298495152787,0.111910264160704,0.1232148402725661,0.3265772549264356,0.0765710142776115,0.1842111774911951,0.0770375769202518,0.1945646414684898,0.0309008906130154,0.0295198353905956,0.0051565545194891,0.11210782496296941
wsm6_off,0.3231988495908902,0.0665805174600384,0.0450420694871835,0.3799402087024568,0.3206480285276193,0.3977545781628354,0.0,0.45512911723549,0.0,0.2708346649311683,0.2686550789030532,0.20748136175651,0.22793870622977042
wsm6_tiedtke,0.2273382560316947,0.0,0.0192147024327304,0.2439215535429516,0.2895935474785606,0.0817224930985842,0.1519083961136337,0.2106932376685936,0.1523880456599087,0.2492033802420115,0.4047167908712021,0.2117479673550686,0.18687069754124494
