,lon,lat,min
2004-03-21 13:00:00,-41.0,-27.75,1001.6806030273438
2004-03-21 14:00:00,-40.75,-28.0,1001.3125
2004-03-21 15:00:00,-40.5,-28.25,1001.0387573242188
2004-03-21 16:00:00,-40.0,-28.25,1000.3049926757812
2004-03-21 17:00:00,-40.0,-28.5,1000.1925048828125
2004-03-21 18:00:00,-39.5,-28.75,999.9112548828125
2004-03-21 19:00:00,-39.25,-29.0,999.3356323242188
2004-03-21 20:00:00,-39.0,-29.25,999.6474609375
2004-03-21 21:00:00,-38.75,-29.25,999.4674682617188
2004-03-21 22:00:00,-38.5,-29.5,1000.5700073242188
2004-03-21 23:00:00,-38.5,-30.0,1000.6080932617188
2004-03-22 00:00:00,-38.25,-30.25,1001.298095703125
2004-03-22 01:00:00,-38.0,-30.5,1001.2550048828125
2004-03-22 02:00:00,-37.75,-30.5,1001.5724487304688
2004-03-22 03:00:00,-37.5,-30.75,1001.309326171875
2004-03-22 04:00:00,-37.5,-30.75,1001.49560546875
2004-03-22 05:00:00,-37.25,-31.0,1001.4962158203125
2004-03-22 06:00:00,-37.25,-31.0,1001.37060546875
2004-03-22 07:00:00,-37.0,-31.25,1001.7012329101562
2004-03-22 08:00:00,-36.75,-31.25,1002.2955932617188
2004-03-22 09:00:00,-36.75,-31.25,1002.8474731445312
2004-03-22 10:00:00,-36.5,-31.25,1003.1680908203125
2004-03-22 11:00:00,-36.5,-31.25,1004.1624755859375
2004-03-22 12:00:00,-36.25,-31.25,1004.7537231445312
